Type,Callsign,Rx,Tx,Tone,Address,Latitude,Longitude,Note
지역망,DS∅KBU(서울 본부),439.60,434.60,88.50,경기도 안양시 만안구 삼막로 584(삼성산),37.43,126.94,-
지역망,D9∅IK(서울 본부),145.44,144.84,88.50,경기도 안양시 만안구 삼막로 584(삼성산),37.43,126.94,2022년 1월 23일 정상
지역망,6M∅HH,144.64,434.28,88.50,인천 연수구 청학동 산 55-4(청량산),37.42,126.66,-
지역망,DS∅KCV,144.64,434.28,88.50,"인천 부평구 일신동 산 28, 만월산",37.48,126.73,-
지역망,DS∅KCW,439.28,434.28,88.50,"인천 부평구 일신동 산 28, 만월산",37.48,126.73,-
지역망,DS∅KBK,434.54,439.54,88.50,경기도 안양시 만안구 삼막로 584,37.44,126.94,-
지역망,DS∅DL,145.16,145.76,88.50,경기도 안양시 만안구 삼막로 584,37.44,126.94,-
지역망,DS∅KBJ,434.52,439.52,88.50,서울 광진구 영화사로 9길 10 (중곡동),37.56,127.09,확인필요
지역망,6K∅FK,145.34,434.34,88.50,서울 동작구 상도동 533-3,37.50,126.94,가동중단
지역망,DS∅AR,144.30,434.30,88.50,서울 구로구 구로동로 35길 30,37.49,126.88,가동중단
지역망,DS∅HH,439.72,434.72,88.50,"수원시 장안구 상광교동 산1, 광교산",37.33,127.02,-
지역망,DS∅HH,145.54,435.54,88.50,"수원시 장안구 상광교동 산1, 광교산",37.33,127.02,-
지역망,DS∅KBD,439.80,434.80,88.50,"수원시 장안구 상광교동 산1, 광교산",37.33,127.02,-
지역망,DS∅HW,439.56,434.56,88.50,안양시 만안구 안양동 산 114. 수리산,37.39,126.91,-
지역망,DS∅HW,144.56,145.80,88.50,안양시 만안구 안양동 산 114. 수리산,37.39,126.91,-
지역망,DS∅II,145.20,145.80,88.50,평택시 평택5로 185(비전동),37.00,127.10,-
지역망,DS∅KBZ,439.40,434.40,88.50,평택시 평택5로 185(비전동),37.00,127.10,-
지역망,DS∅IK,434.44,144.78,88.50,"송탄지부-평택시 서정동 산9-1, 부락산",37.07,127.07,-
지역망,DS0KBM,434.44,439.44,88.50,"송탄지부-평택시 서정동 산9-1, 부락산",37.07,127.07,-
지역망,6K∅HU,144.66,431.66,88.50,"이천시 관고동 산67-3, 설봉산",37.28,127.43,-
지역망,DS∅KDC,434.66,439.66,88.50,안산시 단원구 산단로 120번지,37.31,126.79,-
지역망,6K∅ID,145.76,438.76,88.50,"안성시 보개면 기좌리 산24, 비봉산",37.04,127.28,-
지역망,6M∅IA,145.42,438.42,88.50,"파주시 월롱면 덕은리 산 147-1, 월롱산",37.80,126.76,-
지역망,6M∅IA,439.42,434.42,88.50,"파주시 월롱면 덕은리 산 147-1, 월롱산",37.80,126.76,-
지역망,6N∅HX,439.74,434.74,88.50,"용인시 삼가동 산108-1, 부아산",37.23,127.16,가동중단
지역망,6N∅HX,145.20,145.80,88.50,"용인시 삼가동 산108-1, 부아산",37.23,127.16,가동중단
지역망,D8∅HM,145.36,437.46,88.50,가평군 가평읍 복장리 산 97-2,37.75,127.48,-
지역망,D8∅HM,439.46,434.46,88.50,가평군 가평읍 경관리 칼봉산,37.84,127.47,-
지역망,DS∅KCS,439.46,434.46,88.50,"가평군 가평읍 승안리 산114, 매봉산",37.88,127.44,-
지역망,DS∅KAN,144.12,434.12,88.50,"광주시 송정동 산 8번지, 칠사산",37.42,127.27,-
지역망,D7∅HB,439.46,434.46,88.50,성남시 둔천대로 성남실내체육관,37.43,127.14,-
지역망,D7∅HZ,145.74,434.78,88.50,여주시 능서면 신지리 산69-50 북성산,37.29,127.60,-
지역망,6M∅HW,145.70,439.02,88.50,양평군 개군면 내리 추읍산 정상(583M),37.46,127.57,-
지역망,DS∅KBE,439.02,434.02,88.50,"양평군 강상면 병산리 116-1, 백병산",37.49,127.44,-
지역망,DT∅HU,144.74,431.74,88.50,"화성시 팔탄면 기천리 612-3, 건달산",37.18,126.91,-
지역망,D7∅IJ,439.76,145.74,88.50,고양시 일산구 성석동 산74-1,37.70,126.79,-
지역망,DS∅KBY,439.40,434.40,88.50,고양시 일산구 성석동 산74-1,37.70,126.79,2021년 01월 31일 정상
지역망,?,439.10,434.10,88.50,대전 대덕구 읍내동 5-12(계족산 봉황정),36.38,127.44,-
지역망,6K∅LH,434.32,439.32,88.50,"충남 천안시 동남구 목천읍 교촌리, 흑성산",36.80,127.21,-
지역망,D8ØMX,434.14,439.14,88.50,"충남 천안시 동남구 목천읍 지산리, 흑성산",36.80,127.21,-
지역망,D8ØMY,434.06,439.06,88.50,"충남 논산시 노성면 송당리 산1-1, 노성산 ,,",36.30,127.12,-
지역망,D8ØMW,434.26,439.26,88.50,"충남 보령시 성주면 개화리 산23-4, 옥마산",36.31,126.65,-
지역망,D8ØMZ,439.18,434.18,88.50,"충남 서산시 해미면 산수리 산25-15, 가야산",36.72,126.59,-
지역망,D8ØMU,434.34,439.34,88.50,충남 서산시 해미면 산수리(가야산),36.72,126.59,-
지역망,D9ØLF,439.20,434.20,88.50,"충남 금산군 군북면(서대산, DS3EXT)",36.23,127.53,-
지역망,D9∅LA,434.36,439.36,88.50,충남 보령시 남서2길 121(남곡동),36.34,126.55,-
지역망,6L∅ML,145.38,438.38,88.50,충북 제천시,37.13,128.19,허가 실효 확인요망
지역망,6N∅MV,145.74,435.74,88.50,충북 옥천군 안내면 방하목리 산19-1,36.44,127.67,-
지역망,DS∅AQ,144.74,431.74,88.50,충북 충주시 안림동 산57-18,36.97,127.98,-
지역망,DS∅Q,145.30,438.30,88.50,전북 전주시 덕진구 매봉3길16(금암동),35.84,127.14,확인요망
지역망,6K∅QF,145.34,438.34,88.50,"전북 부안군 상서면 청림리 산118-1, 옥녀봉",35.65,126.65,-
지역망,6K∅QH,145.30,438.38,88.50,"전북 부안군 하서면 석불산길 138, 석불산",35.73,126.64,-
지역망,DS∅NK,144.80,431.54,88.50,광주 남구 진월동 산239(금당산) (이전 작업중),35.12,126.89,-
지역망,6L∅OZ,145.70,439.00,88.50,전남 여수시 동문로 78(관문동),34.74,127.74,확인요망
지역망,6M∅OL,439.90,444.900(?),88.50,전남 여수시 신월동 산-5번지 구봉산,34.74,127.68,-
지역망,6M∅NE,144.72,431.72,88.50,"전남 여수시 광무동 산24, 장군산중계소",34.75,127.72,-
지역망,6M∅ND,144.72,?,88.50,전남 진도군 진도읍 동외리 철마산,34.50,126.26,-
지역망,6M∅NI,434.76,439.76,88.50,전남 진도군 의신면 사천리 첨찰산,34.47,126.31,-
지역망,HL∅HNR,144.64,438.28,88.50,"제주도 서귀포시 서호동 1287번지, 고근산 정상",33.27,126.51,-
지역망,DS∅SE,144.04,438.28,88.50,"제주도 서귀포시 서홍동 625, 삼매봉",33.24,126.55,-
지역망,DS∅SH,144.48,438.28,88.50,"제주도 서귀포시 남원읍 한남리 산2-1,성판악",33.38,126.62,-
지역망,DS∅SF,144.46,438.28,88.50,"제주도 제주시 애월읍 광령리 산183-5, KT중계소",33.36,126.46,-
지역망,DS∅YG,145.70,439.70,88.50,"대구 남구 앞산 순환로 574-114, 대덕산(250M) 본부망",35.82,128.59,-
지역망,D8ØZJ,439.55,434.55,88.50,"대구 서구 통학로30길3,1층(평리동)",35.87,128.56,-
지역망,D8ØZK,439.45,434.45,88.50,"대구 수성구 수성로76길8,2층",35.86,128.61,-
지역망,D7∅YB,434.02,439.02,88.50,"경북 구미시 상사서로29길 36-26, 황금봉 287m",36.10,128.35,-
지역망,D7∅YB,144.52,?,88.50,"경북 구미시 상사서로29길 36-26, 황금봉 287m",36.10,128.35,-
지역망,공사중,439.22,434.22,88.50,경북 구미시 옥성면 주아리 산,36.29,128.27,-
지역망,공사중,439.02,?,88.50,경북 구미시 옥성면 주아리 산,36.29,128.27,-
지역망,DS∅TW,145.46,439.00,88.50,울산시 울주군 상북면 등억리 산181번지 본부망,35.55,129.05,-
지역망,DS∅UY,439.90,434.90,88.50,울산시 울주군 범서면 천상리 산153,35.54,129.22,-
지역망,D8∅YQ,434.30,439.30,88.50,"경북 안동시 상아동 314번지, 영남산 본부망",36.58,128.74,-
지역망,D8∅YQ,434.66,439.66,88.50,"경북 안동시 상아동 314번지, 영남산 본부망",36.58,128.74,-
지역망,D8∅YU,434.64,439.64,88.50,"경북 안동시 북후면 신전리 71-2, 학가산 중계소 본부망",36.67,128.64,-
지역망,예천,434.36,439.36,88.50,경북 예천시 공설운동장 옥상 본부망,36.66,128.46,-
지역망,예천,434.62,439.62,88.50,지역망,43.11,-83.22,-
지역망,예천,144.50,431.90,88.50,경북 예천읍 충효로 238,36.65,128.45,-
지역망,HL∅HQS,145.20,145.80,88.50,"경북 영천시 화북면 정각리 산 6-3, 보현산 본부망",36.16,128.98,-
지역망,D8∅YG,145.78,431.78,88.50,"경북 영천시 시청로 16, 영천시청 27호 영천시청망",35.97,128.94,-
지역망,DS∅AP,144.72,431.72,88.50,경북 경주시 불국로 873-243 (진현동) 지역망,35.79,129.33,-
지역망,DS∅AP,434.42,439.42,88.50,경북 경주시 불국로 873-243 (진현동) 지역망,35.79,129.33,-
지역망,D7∅ZK,144.92,433.86,88.50,"경북 문경시 문경읍 고요리, 단산 지역망",36.74,128.16,-
지역망,D7∅ZK,434.40,439.40,88.50,"경북 문경시 문경읍 고요리, 단산 본부망",36.73,128.17,-
지역망,D8∅YF,144.52,434.22,88.50,"경북 울진군 원남면 덕신리 산 10, 현종산 중계소 (고장수리중)",36.86,129.40,-
지역망,D8∅YF,434.36,439.36,88.50,"경북 울진군 원남면 덕신리 산 10, 현종산 중계소 (고장수리중)",36.86,129.40,-
지역망,D7∅YO,144.66,431.66,88.50,"경북 청송군 파천면 신흥리 산14-1번지, 600m 지역망",36.39,129.04,-
지역망,D7∅YO,434.48,439.48,88.50,"경상 청송군 안덕면 노래리, 노래산 본부망",36.38,129.00,-
지역망,D7∅ZJ,144.56,431.56,88.50,"경북 영양군 영양읍 서부리 산 37-1번지,300 지역망",36.67,129.10,-
지역망,상주,434.36,439.36,88.50,경북 상주시 갑장산 본부망,36.35,128.18,-
지역망,청도,434.36,439.36,88.50,경북 청도군,35.65,128.73,-
지역망,김천,434.42,439.42,88.50,"경북 김천시 난함산 ,,",36.20,128.06,-
지역망,경산,434.46,439.46,88.50,경북 경산시 백자산 본부망,35.80,128.74,-
지역망,경산,433.96,438.96,88.50,경북 경산시 백자산지역망,35.79,128.75,-
지역망,경산,144.74,431.74,88.50,경북 경산시 백자산,35.79,128.75,-
지역망,HL∅DOK,144.72,?,88.50,경북 울릉군 울릉읍 독도리 산 30(독도 등대),37.24,131.86,고 장(분실)
지역망,D7∅ZL,145.18,145.78,88.50,"경북 포항시 남구 시청로 1, (시청옥상) 본부망",36.02,129.34,-
지역망,DS∅TQ,439.98,434.98,88.50,부산 서구 서대신동3가 엄광산 중계소 본부망,35.13,129.01,2022년 1월 기준 정상작동
지역망,6L∅UU,145.76,434.76,88.50,부산 서구 서대신동3가 엄광산 중계소 본부망,35.13,129.01,-
지역망,HL∅PHQ,439.88,434.88,88.50,부산 사하구 봉래산 KBS중계소,35.10,128.97,2021년 12월 기준 정상작동
지역망,DS∅TU,144.70,439.50,88.50,"부산 남구 대연동 1235, 황령산 PSB중계소",35.16,129.08,-
지역망,6L∅UW,144.76,431.76,88.50,경남 진주시 가좌동 322-2,35.15,128.12,-
지역망,6MØTN,439.46,434.46,88.50,"경남 함안군 산인면 모곡리 산 38-1, 자양산",35.29,128.45,2022.1.29 정상
지역망,6MØUA,439.16,434.16,88.50,경남 양산시 평산동 산171-6(천성산 인근),35.42,129.11,2022년 1월 기준 정상작동
지역망,6L∅UF,144.72,431.72,88.50,경남 창원시 의창구 소계동 천주산 산불감시소,35.26,128.60,-
지역망,6K∅WT,439.04,434.04,88.50,"경남 김해시 어방동 산2-3, 신어산",35.27,128.91,2021.08 정상
