Latitude,Longitude,Region, Name,Rx,Shift,Tx,Tone,Type,Callsign,Address,Note
37.4355672,126.9388092,서울,서울본부,439.6,-5,434.6,88.5,지역망,HL∅FHQ,경기 안양시 만안구 석수동 산 10-1,
37.4355672,126.9388092,서울,서울본부,145.44,-0.6,144.84,88.5,지역망,HL∅FHQ,경기 안양시 만안구 석수동 산 10-1,
37.4355672,126.9388092,서울,서울본부,439.5,-5,434.5,88.5,광역망,HL∅FHQ,경기 안양시 만안구 석수동 산 10-1,
37.5554037,127.0933654,서울,광진구,434.52,5,439.52,88.5,지역망,DS∅KBJ,서울 광진구 영화사로9길 10 (중곡동),
35.1348099,129.0152229,부산,엄광산,145.76,0,145.76,88.5,본부망,6L∅UU,부산 서구 서대신동3가 엄광산 중계소,
35.1348099,129.0152229,부산,엄광산,434.76,0,434.76,88.5,본부망,6L∅UU,부산 서구 서대신동3가 엄광산 중계소,
35.1348099,129.0152229,부산,엄광산,439.98,-5,434.98,88.5,본부망,DS∅TQ,부산 서구 서대신동3가 엄광산 중계소,
35.1571056,129.0820778,부산,PSB중계소,144.7,0,144.7,88.5,본부망,DS∅TU,"부산 부산진구 전포동 산 50-10, 황령산 PSB중계소",
35.1571056,129.0820778,부산,PSB중계소,439.5,0,439.5,88.5,본부망,DS∅TU,"부산 부산진구 전포동 산 50-10, 황령산 PSB중계소",
35.0819546,129.0552017,부산,KBS중계소,439.88,-5,434.88,88.5,본부망,HL∅PHQ,"부산 영도구 신선동3가 산 1-3, 봉래산 KBS중계소",
35.0819546,129.0552017,부산,KBS중계소,D/V,-5,434.88,88.5,본부망,봉래산,"부산 영도구 신선동3가 산 1-3, 봉래산 KBS중계소",
35.8737781,128.5632188,대구,평리동,439.55,-5,434.55,88.5,본부망,D8∅ZJ,"대구 서구 통학로30길 3, 1층 (평리동)",
35.8572511,128.6144407,대구,수성동2가,439.45,-5,434.45,88.5,본부망,D8∅ZK,"대구 수성구 수성로 76길 8, 2층",
35.824299,128.5871815,대구,대덕산,145.7,0,145.7,88.5,본부망,DS∅YG,"대구 남구 앞산순환로 574-114, 대덕산 (250M)",
35.824299,128.5871815,대구,대덕산,439.7,0,439.7,88.5,본부망,DS∅YG,"대구 남구 앞산순환로 574-114, 대덕산 (250M)",
35.824299,128.5871815,대구,대구광역망,439.48,0,439.48,88.5,광역망,대구광역망,"대구 남구 앞산순환로 574-114, 대덕산 (250M)",
37.4214329,126.6622574,인천,청량산,144.64,0,144.64,88.5,본부망,6M∅HH,인천 연수구 청학동 산55-4,
37.4214329,126.6622574,인천,청량산,434.28,0,434.28,88.5,본부망,6M∅HH,인천 연수구 청학동 산55-4,
37.5103454,126.6846665,인천,원적산,439.28,-5,434.28,88.5,본부망,DS∅KCW,인천 서구 석달로 130번길 30-10 (석남동),
37.514508,126.6722785,인천,세어도,144.58,0,144.58,88.5,본부망,세어도,인천 서구 원창동 산 146-8,
37.514508,126.6722785,인천,세어도,431.58,0,431.58,88.5,지역망,세어도,인천 서구 원창동 산 146-8,
37.523279,126.7159725,인천,부평구,144.64,0,144.64,88.5,본부망,DS∅HU,인천 부평구 청천2동 404-7,
37.523279,126.7159725,인천,부평구,434.28,0,434.28,88.5,본부망,DS∅HU,인천 부평구 청천2동 404-7,
37.475004,126.7363742,인천,만월산,144.64,0,144.64,88.5,본부망,DS∅KCV,인천 부평구 일신동 산28,
37.475004,126.7363742,인천,만월산,434.28,0,434.28,88.5,본부망,DS∅KCV,인천 부평구 일신동 산28,
37.475004,126.7363742,인천,만월산,439.86,-5,434.86,88.5,광역망,DS∅KCV,인천 부평구 일신동 산28,
